Comment,Hatespeech
Nieko neveikiantis prezidentas! Ekspertai tik patvirtino kad šitas aukštas ir gražus dirbo ne Lietuvai bet dėl savo reitingo,No
"Čia reikėtų pastebėti, kad Operos Fantomas, davė savo naudą, švelniai tariant.",No
"Ir šis prezidentas siekia antros kadencijo.?Negi Lietuvai reikalingas prezidentas,,narcizas” iš to aukšto ir gražaus liko tik aukštas ir dar pasipūtęs",No
NEREIKS JIEMS TRIESTI JIE PIRMIEJI ISNES SUBINES IS LIETUVOS.JIE JUK JAU SUSIPIRKO VILAS UZSIENIUOSE. LIKS TIK INVALIDAI IR UBAGAI.,No
Is vis geriau tyletu sitas plastelinas....,No
"Prezidente , pritari Amerikos karo korupcijai , gauni pelno -! -kodėl nerodė tiesioginės JAV žurnalisto ir Putino kalbos LT televizija -žiūrėk varguomene tautos , reikia ,bijoti vietiniu vyriausybės vagiu-!
Kiek neliagaliu milijonieriu yra seime -?
Musu pinigus vagiate-?
Mums rūpi šendiena ir ka valgysiu rytoi. Kokios kaknos tam kad išgyventume. Elektra , buto šiluma, kuras, gydymas- mediku operacijos 5000- €,
Baudžiava -!",No
"Sėdmaišis pagaliau susiprato ,o kur anksčiau buvo",No
Jum su galva viskas gerai.balsuoti už še arklisnuke kuri nustekento lietuva,No
pati šlykščiausia kandidatė,No
savo intelektą parodo agituojantys už chamus kaip šitą mergelę pagal iškvietimą,No
"Tai jau tikrai,debyle kursto žmones",No
Dink is sejmo oska,No
Ji pati nori kara sukelti ir teps slides kai pele i urva,No
"Marazmatikė ,panikiorė, prišauks ji nelaime !",No
"Didžiausi sumaišties kėlėjai,tai šitos besmegenės bobos,kitaip nepavadinčiau ir valdovo pakalikai",No
"Mergaite ,celkute ka buri",No
Pisk Nahuj vakilga bliat 🤣 🤣 🤣 👎👎👎👎👎💁‍♂️💁‍♂️,No
Šimonyte transvestitas,No
Tu čia padla didžiausia sumaišti keli,No
Didesnės sumaišties jau niekas nesukels kaip šie dalbajobai valdžiažmogiai,No
P.d.r.a.i,No
Išgręžti galvoj skylė pripylti betono ir užkimšti kamciu,No
"Bl.. Lietuvos ŽMONĖS KIEK JŪS GALITE KALBĖTI FACEBOOK AR INSTAGRAME AR DAR KOKIOSE SVETAINĖSE GAL GALIMA PAGALIAU NUEITI VISIEMS PRIE VYRIAUSYBES AR SEIMO GALU GALE VISI!!!!
KALBU APIE MOKYTOJUS, VAIRUOTOJUS, MIŠKININKUS, ŪKININKAI, UGNEGESIUS (kuriems vis striuka su ju finansavimu alga didinimu ir technika), MEDICINOS DARBUOTOJAI, PENSININKAI IR VISI VISI KAS JAUČIA KAD IR TIE PATYS MOKESČIAI JAU DAROSI NEBE ADEKVATUS DIDŽIAJAI DALIAI ŽMONIŲ !!!!
KLAUSIU JŪSŲ VISU KIEK DAR LAUKSIME VISI ?
SENIAI REIKIA KELTI SAVO ŠIKNAS IR RANKAS BEI GALVAS IŠ TU IŠMANIU IRENGINIU IR DARYTI KAŽKA NES TAIP NIEKADA IR NEBUS GERAI!!
KODĖL VISI GALI?, O Lietuviai visada tyli ir nieko nedaro, nes mes viena karta nuėjome prie seimo ir jus ka galvojate VALDININKAI SUPRATO???
PRADEKITE KAŽKA DARYTI!! NES TIK VIENINGA TAUTA GALI PASIPRIEŠINTI IR PASAKYTI SAVO ŽODI !!!
ir jei kas sakys kodėl aš nieko nedarau tai pasakysiu, taip O ka gali vienas žmogus padaryti?!
""//kad kita savaite susirinkime visi prie seimo.""
Ačiū. Ir gražios dienos.
Asmeninė nuomonė.",No
"Arba y vagio kisene, tiesiogiai lansbergi anuka yvardinti.",No
Y krūmus beproti,No
Verst!,No
Kažkokie išsigime ir taip gynybai skiremi pinigai dar maža,No
Lai uosto kabancius,No
Idiotai jūs !!!!!,No
Ne nu ji vezti gydyt reik nupuso visai😡😡😡,No
Apšik velniė galvų,No
Dalbajobas ir tiek,No
Ir tokios privirej Kat iki givianimo pabajgos nia iš srepsi ydijote 🤣🤣🤣🤣🤣🤣🤣,No
"sutikciau,jei tas saugumas butu nuo jusu isgamu valgziazmogiu,kurie ne savo noru bet saukte saukesi karo.",No
Debilas,No
Kiek tą žąsiną dar linksniuosit....,No
Nepagydomas,No
Eikit nx su tomis nesamonemis,No
"Nuo Rusijos agresijos gal ir apsisaugotume, bet kas mus apsaugos nuo Debilų, sėdinčių valdžioje ir naikinančių viską iš eilės?",No
Propagandonai dedules sestiorkos,No
Su tavim ožy tai labai saugu Lietuvoj tai faktas dar pliurpe šūdus,No
Iš savo kišenes kabinkit debilai,No
… o dalis pensijų fondo į šito pienburnio kišenę,No
A tam suskiui dar negana svetimų pinigų ????,No
Gandonas tu jobanas! seima tu matysi kaip savo ausis po ateinanciu rinkimu,No
Da pasol jis n.........x,No
Klounas nedapis*as,No
Geriau gimęs nebutum,No
Ciulpk isgama,No
"Nuosirdus sveikinimai gabriukui gimtadienio proga.Linkim kad ji visur ir visada lydetu vien prakeiksmas uz jo nuodemes,pries Lietuva,ir jos Tauta.
Kad kartu su juo kentetu,ir senas ozys.🤝",No
Šungrybis prskeiktas !,No
Pudeliuk su gimtadieniu. 🤮,No
Idiotų kompanijos pirmininkas,No
Ka? Šita asila?,No
Pedofilu partijos pirmininkas 🤢🤮🤮🤮🤮🤮,No
Nuodas,No
Lohas tu lansbergi.,No
Eina velniop.....,No
Padovanokit jam gimtadienio proga kelionę į Sibirą ten ji pripažins ministrų😝,No
Su putinu ant trijų raidžiu dalbajobas,No
Lietuvos nelaimė,No
"Jei jis degtų tai net šunys an jo nemystu, kokie dar sveikinimai",No
Su gimtadieniu subingalvi.,No
Loh jibanas dar sveikint ji,No
"Su, gyvate!",No
Nuo kada oži sveikina,No
Koki čia sveikinimai! Linkiu kad jis nusproktu šitas idijotas!,No
"Su gimtadieniu vafli
",No
"sveikinimai Pedo anukui! tikiuosi sie metai paskutinti tau ir tavo transfestitu sunaujai!! Dalbajobas kuris prisiko tiek per 4 metus,kad nezinia ar uzteks 20 atsistatit!",No
pasol nahui vagie,No
Asilas,No
Lopas😝😄,No
"Glušu glušas,varyk į Kiniją keliais nareliais atsiprašinėdamas.",No
Asilo brolis visada bus asilas.,No
Debils yra debils palikuonis,No
"Šliužas daugiau nieko ,kur pasirodo ten piktumai",No
Ufonautas....,No
Ta besmegeni ginti seimo visai kol dar iki galo nenupežo debiliuks,No
Oziaus anuke dingau padarik. Is Lt . Tauta atsigaus. Ar deduko pinigu tau maza privuogtu is zmoniu,No
Lietuvos kenkėjas,No
Šūdmalys ir tiek. ‼️,No
Tvartinio postringavimai,No
Tu nusileisk ant dugno pezale,No
"Pyzdasnuki lanzbergį, anūke tu kriošenos gaišenos komunisto...
tipo ožį tu čia už laisvę, kiršintojas esi..!!!",No
Nustok laizyt subine rytams invalids gabale....,No
"Gabrieliuk,gal jau eik ,,ant kėdutės''! Jau tiek prisikakinai,kad Europos sąjunga tau už nugaros kvatoja!..,baisi tą liga- didybės manija,oi baisi...",No
"Trumparegis idiotas, kas tau leido žaisti mūsų sąskaitą savo politinius žaidimus? Pas mus su Kiniją jokiu problemu nėra, taip pat kaip ir su Čilė, Pakistanu ar Grenlandiją...tiesiog jokiu",No
"Kazkada senai dar vis atrode kad normalus vyras o dabar pusdurnis arba visiskai durnas jis. Gal jam ir nieko jokiu problemu nesukele kinijos praradimas, bet zmones kurie siuntesi is kinijos tiem tikrai apkarto reikalai. Gerai kai zmogus pinigu turi kaip sieno ir gali neziuredamas kainu pirkt tai ko jam reikia, bet yra ir paprastu zmoniu kurie pigiau nori gaut ir turi kantrybes palaukt. Gydytis jam reikia",No
"skaudžiausia avinas seime, kuris nelabai supranta apie ką šneka....",No
Debilas,No
O će tai pusgalvys,No
Klaunas lansberginis.,No
Sučka,No
"Suknistas melagis, vienos iš didžiausios pasaulyje rinkos nėra praradimas. Kažkas jam trinktelkit per makaule, gal prasiblaivys",No
"Idiotas......
",No
Debiloidas,No
"Tai taip taip urodas ozio snukiu uztai vaget is elektros tinklu is savivaldybiu is misku is visur,kad poto tuscia valstybe lai pasijema😂😂😂 kaip sakant bandot ispyzdinti dar kiek imanoma..",No
"būtu gerai, kad ta veiloka lanzbergi, kas nusautu",No
"ir ka tas sūdzius lanzbergiukas padarys?, per mazas tarakonas yra",No
"Ciuosk žydo anūke, jau senis pardavė ir isvoge Lietuva, jau tavęs nereikia senis perdavė visus iš vogtus mūsų tautos pinigus, tau, atsiprašau ne tau bet tavo bobai. Vagių saika, stipsit kaip ir visi vagys, banditai ir išgamos, paklauskit savęs kodėl jūs visi tokie gudrus ir kas jums uždirba tuos turtus. Būtų mano valia aš jus isnaikinciau kaip kolorado vabalus nuo bulvių. Bet viena paguoda, kad jus ne amžini vistiek pastipsit.",No
"Asilų , vagių - gauja ...!",No
Esi. Klaunas. Pripažink. Tu tai supranti.ka sneki,No
Glušas 🤬,No
O kam to reikia apsieisime ir be tų gamtos nesusipratimų 😂😂😂,Yes
Ligonius reikia gydyti,Yes
"Šie ligoniai taip išreiškia savo norus ir vizijas . Jei jų nenukirsi , taip ir atsitiks .",Yes
Kaip gražu. Kuri. Notaka,No
"Jau blogiau nuo to nebus edikams,nes jie edikai,o tai blogiausia",Yes
"Turėtų jiems būt sukurtas pragaras , kaip žadėjo per covido afiorą , neskiepytiems ",Yes
Mus įvarčius vienas kitam į tarpkojį🤣,No
Varžysis kuris giliau į rudąją įbuksuos... 😄😄,Yes
šikna skilęs šaratus stumdis ???,Yes
"Gėjai, kaip ir visas LGBT, yra, viso labo, sugedęs evoliucijos produktas ir nieko daugiau.",Yes
Koki žaidima žais? Kas greiciau i šikna pataikys?,Yes
Nu Nx.. dalbajobai? Dalbajobai!,Yes
Zais kas greiciau sudauzys galini tilta😂😂😂arba kieno galinis tiltas prades greiciau kaukti,Yes
Tomas Vytautas Raskevičius varyk galesi šuda pastumdyti 🤣🤣🤟🤟,No
Balvonai,Yes
"per valanda apie tapati suda rasot jau antra kart, nebus raskevicius siknon ilindes? pagal ideja ir ta asila paleist pelenais galima kartu su jo tom knygom",Yes
"Galėtų kartu su savo tuom knygom nx......Nepasigesim tokio ""seimuno"" """" Velnias",No
Klounai vis dar vsldzioje!🤣😂🫣,No
Nenormalus tipai.,Yes
da koks gerai kai musu saly gaidinas vyksta,Yes
Ir vel pedikai…🐓🐓🐓,Yes
"jeigu būčiau tėvas tai greičiausiai irgi nieko nesakyčiau tiesiog susitaikyčiau,nors gyvenime nekenčiu jų politikos lysti ir rodyti savo iškripimus,na sutinku iškrypes mano vaikas bet na sėdėk tyliai ką jau padarysi jei tau šyknaskylės patinka arba nučiulpti ,ne neberašysiu pačiam jau kūnas eina pagaugais",Yes
pitusaros,Yes
Raskevičiaus be kelnių čia dar tik trūksta.... 🙂,Yes
"Ruosia zurnaliugos dirva iskrypeliu istatymui priimti,nieko neisdegs,tegu tyliai dubasinasi!!!",Yes
Lesbiu paradas,Yes
Tai jau tamomę ir pyderų šalimi. Gerovės valstybė...,No
Tai abi ten barškino ar veina ar tik veinai užkibo .,No
Matosi iš veidų kad nepilno išsivystymo atstovai,No
"Dvi tiutes ,kokios čia šaunuoles ,dvi iškrypeles ,ir dar tokias sveikinti ,durniu slėnis ,prisilaize su vėjo pagalbos kontrole",No
dvi durnės..,No
"čia svingeriai, ar haremas, kur jos laksto",No
Tai kurios čia sperma?,No
Vistiek be vyro negalite vaikų turėti dvi nesveikos artiste,No
Į Vileiką joms laikas....,No
"Įdomu,kas apvaisino. Matomai, gal Raskevičius.Vibratoriai to padaryti negali.",No
"Jau senai reikejo, tegu jie ant kelniu nesioja uzrasa 'GEJUS' ,o ne is vaiku atimti spalvas, is vis juos reiketu izoliuoti nuo visuomenes, nes ju mastymas visai kitoks",No
Cia kas valstybe valstybeje? Savo namukuose balkone isikelkit bus naudos zinosim kur p....i gyvena,No
Bybi tegu nusipiesia ir po kaklu pasiksbina.,No
Mes nezydrieji jei nori tegu gyvena reklamos reikia tik psichams,Yes
"Jeigu vėliava kabo, vadinasi toje įstaigoje šikniniai dirba",Yes
"Mums į seimą tokį ""įstatymą"".
Nuo žydrų narkomanų apsivalytų.",Yes
"Tai ko mutantai lenda visur,jei smegenis valdo antras galas,tai nebėra",Yes
Pabruki uodegą ir dūmini į visas keturias puses.arba paskui laivą.,No
"Reiktu sukurt GALU/VAROMU ""Vyru"" sali,kazkur lb lb TOLI,ir tegu jie ten ""dauginasi"" iki kol viens kitam suplesys rudasias......................., nereikalingi jie tarp sveiku zmoniu.....",Yes
Kuo mažiau lietuvoje bus tokiu tuo geriau,Yes
Vafliai,Yes
Tu geriau emigruok su savo burna i savo prtnerio byrka.... daugiau pasieksi,No
"Taip,geriausia jums emigruoti. Nu nereikia mums nukrypėlių,kurie šūkauja ir reikalauja to paties,ką išgyvena normalios šeimos,gimdančios vaikus natūraliai. Birbinkitės nuleidę akis o ne šokinėkit.",Yes
"Ot įdomu , kaip jie santikiauja , o gal kastratai jie?",No
"Teisingai, nėr čia ko balvonam gyvent Lietuvoje.",No
Iškrypimas ir tiek,Yes
Šlykštyne,No
Išgamos reiškiasi.,Yes
"Isangiu megeju daug vakaruose,gero kelio!🤣🤣🤣🤣",No
Ligoto žmogaus kliedesiai...,No
Pedikshow,Yes
"Pusdurniai, pastoviai žmonės visur užpuolami visokių degradų, bet čia šiknadraskys jau auką vaidiną. Visame pasaulyje niekas nemėgo ir nemėgs šiknadraskio kuris ne būna homoseksualu, o visomis išgalėmis nori būti pyd...u.",Yes
"Galite ir emigruoti tokiu iskrypeliu cia nereikia,,,,,,",No
Sudie šikniniai ir kuo toliau nuo lietuvos🤮,No
🐓🐓🐓🐓,Yes
Visus tuos iškrypelius i amerikos koke nors sala ir ten tegus p.....si tarpusavi,Yes
Ragai pydarams,Yes
Šlykštukai,Yes
Fui fui fui nemormalus....,Yes
Ar ira dar normaliu ar visi per šikną. ? Ot atėjo laikai šikna pasidarė didžiausia vertybė. Per šikną visur . Bliat šlykštu žiūrėt i,Yes
Tegu ten visi varo iš Lietuvos ir būna šlovinami rudnosiai! 😄,Yes
Vyt iš lietuvos šiknapisius😁,Yes
Pederastizacija Lietuvoje tolygu orku artilerijos apsaudymams Ukrainoj,Yes
Lgbt tegu eina v pizdu,Yes
Sekmes iskrypeliams ten....,Yes
Piderasinas,Yes
Iskrypeliu saika kur ritasi pasaulis 😡😡😡,Yes
Pederastus von,Yes
"Seimas yra nulis seime yra 141? Ir 60% ligotų? Seimas ne Lietuva,Lietuvos 70% nepritaria ligotiem",Yes
"Kas nešokinės,kas nešokinės...😲",Yes
Jau pats laikas pradėti vežti raupus į Lietuvą,Yes
Supratau iš kur tie beždžionių raupai 😁😅🤣,Yes
Ir taip to šūdo pylna.,Yes
Ir pas mus reik iškripėlius sodint 5 metam i kalėjima ir baigsis tos nesąmonės nebus nei gėjų nei liesbijieciu o jei bus tai savo iškripimu nedemonstruos ir savo teisiu nereikalaus,Yes
Kaip staiga atsirado ivairiu istoriju apie pyderus,Yes
"Protinga Kameruno valdzia, gydo ligonius💪",Yes
Pas mus savu py....ų uztenka.,Yes
Tai dar gerai kad ne su bezdzione uztiko!O tai dar raupu atveztu!,Yes
Visus iskrypelius priimkit,Yes
ir kam jis čia reikalingas ??? savų py... per akis,Yes
Čia tas iš milijono gaidžių ?!,Yes
visa mesla lietuvele surinks,Yes
pas lenk slektas labusnia buvo vaivadija kol galiausiai visai isnyko. pas europos metropolija visas procesas daug greitesnis po sekanciu euro rinkimu bus tik du keliai arba buti europos provincija be balso teises arba pendelis i subine ir su terba per pecius gristi i savo  baznytkaimi. europos bordako dienos sukaiciuotos ir tik kieta federalizacija dar kazkiek gali pagebeti sitam bordakui.,Yes
"Gal jankynas ne taip ir kaltas, greiciau kalti parsidaveliai kitu saliu valdziagyviaiPusgalvi tu, jankynas ir buvo vienas iš fašizmo kurstytojų, ir pats yra fašistinis. Tarybų Sąjunga ir jos tautos išgelbėjo pasaulį nuo nacių, ujobke.nuolankiai sutinkantys, kad su jais butu valomi amerikiniu bandytu subines.Cia turiu omeny ir litikrijos valdzios pašliamekus.",Yes
"Gal jankynas ne taip ir kaltas, greiciau kalti parsidaveliai kitu saliu valdziagyviai nuolankiai sutinkantys, kad su jais butu valomi amerikiniu bandytu subines.Cia turiu omeny ir litikrijos valdzios pašliamekus.",Yes
Pyzda Ragelskiui uz kurstyma ir smeizima,No
Litukrijoj sitas strapsnis galioja tik zydu atveju,Yes
Litukrijoj sitas strapsnis galioja tik zydu atveju,No
"Anonime, idiote. Ir tie, kas rašė šitą straipsnį. Tu ir anie bent suprato, ką parašė?Jie patys ir tu, debile, būtent ir kurstome, niekinate rusus ir baltarusius, neatsiedami juos nuo taip vadfinamos agresijos... Ar RF ir Baltarusijjos piliečiams, tarkim, draudimas vykti pas save, jei jie turi LT leidimą gyventi, nėra tai, kasd baudžiama paga tą straipsnį? Dar ir kaip. Bet pochuj teisėšikai...",No
"Gal jankynas ne taip ir kaltas, greiciau kalti parsidaveliai kitu saliu valdziagyviai nuolankiai sutinkantys, kad su jais butu valomi amerikiniu bandytu subines.Cia turiu omeny ir litikrijos valdzios pašliamekus.",No
Nu ar jums gaila tu lietuvisku nuopisu. Geriau butu kad juos Rusija spirgintu letai ilgai  ir be gailescio. Stipk piderasine Lietuva.,Yes
Piderasine Ispanija turi buti sunaikinta.,Yes
KAVO MY BAJIMSIA NASU VLASC.KTO SAMNOJ NAPISYCIE.,Yes
"Apsimeta durnelę, baisu žiūrėti.",No
"Patyčios iš žmonių daro ,eina jinai melage kuo toliau",No
"Sena merga ir kitaip jos nepavadinsim,ir dar gluša,su kuo susidėno,tokia ir tapo nupušus,per tiek metų jokio joker...nesusirado,gal proto būtų ikrėtęs.",No
Atgyvena,No
"Eik tu šuniams šenaut, išgama",No
"Tokia žiurke ,kad negaliu žiūrėti
",No
"Sena merga kaip kalade,nieks nenori ir nebado",No
Ono kalbantis vyrišku balsu - nuodas!,No
Užsikišk kale,No
lietuvos geda,No
Sakiau ir sakysiu višta yra višta ir ereliu nebus.,No
Apsivemt nuo šito šūriko galim🙈,No
Šikne,No
Lietuvos gėda,No
Ką tu čia arklegalve pezi. Va kokia valdžia daro ką nori perka ką nori. O jūs tautos avinai tylekit ir bukit laimingi. O mes jūsų pinigus taskysim į kairę ir į dešine!,No
Sutre.....,No
Nei moterys nei vyras,No
O ko gi ausys rausta melagei?,No
Lysk į būdą,No
"Paprastas zmogus uz savo lesas pasirupina darbo priemonemis,ir i darba vaziuoja savo transportu.Kodel seimo narei isskirtiniai,issikele didziausias algas,negali apsirupinti priemonemis.Di aferiste kuri uzmerkia akis del visu vagysciu,pedofilijos skandalu,turi pust is posto.Svabo ,soroso pakalike,svetimos valios vykdytoja.",No
Nukabink ta veliava padla...,No
Пизда старая🤣🤣🤣,No
Slykstyne🤮🤮🤮🤮🤮🤮🤮🤮🤣🤣🤣,No
Lerva,No
"Ot nesveikumo isikunijimas,šurikas grynas",No
Nei vyras nei moteris! Kas?,No
Goblinas🤬,No
"taigi sita ziurke ir seimo nare yra ,, ka ji cia kvaksi kai turi visas galimybes problemas isspresti, ,, issipisinetoja didzioji",No
Prie sienos,No
Baisi žmoga visais atžvilgiais....,No
Žmonių naikintoja...,No
Oi šiukšles jus,No
Urodė sūčka,No
Grazūs zodziai sūdo sakė,No
Šimontė yra žurkį,No
Nusipirk valkata tu tą kompiuterį kai tokia alga gauni neverkus blet,No
Tu dusk mažute,No
Vistgaidis .slykstu girdet ja,No
Eik lauk trintukia vel pradedi trint žmonem smiagenis tabo nomone nekam nia i domi,No
Pidare,No
Vagiu banda 😂😂😂😂😂,No
Šizofrenikė,No
Melagė dar kažka tauškia,No
Eik nx tu visai durnele!,No
Zertva,No
Nu bl nusipezėjus samojobė-hermofroditė patylėtų jau...,No
Sudmale,No
Zertva,No
"Ono,ašai,žmoga...☝️🤣🤣",No
slyksti demagoge.,No
Trandačika jinai veškit į vileika.,No
21 amžiaus virusas,No
Ka ru finansuoj glusas viskai i ukraina isvazuoj o ten klerkai gyven kaip instai taukuos / UA,Yes
Joba****** pyda*******,No
